target,recipe,lead_gene,cosine_at_8,retention_vs_r1,genes
Th1,1,ATF7IP2,0.295,1.0,"ATF7IP2, FBXO32, RARA, HPS1, KIF5B, GORASP2, HEXIM1, FKBP14"
Th1,2,TMEM263,0.267,0.905,"TMEM263, ATF7IP, ICOS, PPRC1, USP22, STRADB, PIGP, APPBP2"
Th1,3,BICD1,0.252,0.855,"BICD1, INPP5D, LCORL, FXYD5, IRGQ, KIFAP3, AGTPBP1, RNF141"
Th1,4,STAT6,0.245,0.83,"STAT6, ZNF408, MTERF2, CHD4, ARFGAP2, RBAK, SETDB1, RGCC"
Th2,1,RSBN1L,0.293,1.0,"RSBN1L, TMSB15B, IRF1, TAFAZZIN, ENTPD7, IRF9, SERPINB1, UFM1"
Th2,2,FRS3,0.246,0.84,"FRS3, MLST8, JAK2, MAPK14, SNX33, RCN3, NCOA3, OASL"
Th2,3,HELZ2,0.237,0.81,"HELZ2, NLRC5, AVEN, GBP5, TMEM260, DET1, MAP2K3, TSNARE1"
Th2,4,ARHGAP30,0.234,0.798,"ARHGAP30, STK36, FBXO11, TRAF3, ARID1A, ARL8A, STAG1, EMD"
younger,1,SLC9A1,0.344,1.0,"SLC9A1, ATXN2, MFSD10, PLIN3, SLC35F5, PPP1R7, UAP1L1, ZC3H12D"
younger,2,SMIM7,0.319,0.928,"SMIM7, CLPP, PGP, ZYG11B, CYB561D2, TMSB15B, TXNRD2, UBR2"
younger,3,NRBP1,0.301,0.876,"NRBP1, DEPDC5, ZNF718, PHF3, ERG28, IER3, RANBP10, PRDM15"
younger,4,TBC1D14,0.296,0.86,"TBC1D14, TNNC1, PAN3, SDR39U1, PRNP, TMEM104, TYW3, ZNF224"
older,1,ZAP70,0.383,1.0,"ZAP70, SMG1, CROT, WDFY1, CD5, C1D, KEAP1, MLLT6"
older,2,CD3E,0.382,0.998,"CD3E, ATF7IP2, GPR108, ARHGAP30, SMG9, TRIM14, KYAT1, MTHFD1"
older,3,MRC2,0.362,0.945,"MRC2, KDM1A, LRP2BP, FITM2, ATF7IP, SOD2, ULK4, SERPINE2"
older,4,PLCG1,0.352,0.919,"PLCG1, MIOS, ZNF613, XRN1, PANK4, COMMD9, KIF9, SMG7"
