perturbation,matched_cosine,matched_pearson_r,specificity_z,gene_specific_p,within_K562_residual,within_RPE1_residual,cross_K562tgt_RPE1basis_residual,cross_RPE1tgt_K562basis_residual,within_K562_reachcos,cross_K562tgt_reachcos,within_RPE1_reachcos,cross_RPE1tgt_reachcos,verdict_within_K562,verdict_cross_K562tgt,verdict_within_RPE1,verdict_cross_RPE1tgt,recipe_jaccard_sametarget,recipe_jaccard_K562_crossbasis,recipe_jaccard_RPE1_crossbasis
AARS,0.4384,0.4428,1.991,0.0250,0.4941,0.3037,0.8332,0.6960,0.8694,0.5530,0.9528,0.7181,1,1,1,1,0.0000,0.0000,0.0526
AATF,0.1584,0.2033,0.905,0.1700,0.3116,0.3468,0.8657,0.6779,0.9502,0.5006,0.9379,0.7351,1,1,1,1,0.0526,0.0000,0.0000
ABCB7,0.2762,0.3029,0.790,0.1800,0.6700,0.2959,0.8682,0.6370,0.7424,0.4962,0.9552,0.7708,1,1,1,1,0.1765,0.0526,0.0000
ABCE1,0.5966,0.5905,2.819,0.0000,0.4741,0.5096,0.7863,0.6820,0.8805,0.6178,0.8604,0.7314,1,1,1,1,0.1111,0.0000,0.2500
ABCF1,0.5510,0.5463,2.682,0.0000,0.5165,0.3561,0.8245,0.6465,0.8563,0.5659,0.9344,0.7629,1,1,1,1,0.1111,0.0526,0.0526
ABT1,0.0524,0.0854,0.583,0.2500,0.6266,0.3464,0.9055,0.6586,0.7793,0.4243,0.9381,0.7525,1,1,1,1,0.1111,0.0526,0.0000
ACTB,0.2833,0.2821,4.346,0.0000,0.9095,0.8255,0.9553,0.9727,0.4156,0.2956,0.5645,0.2322,1,1,1,1,0.1765,0.1111,0.0000
ACTR6,0.1872,0.1861,6.133,0.0000,0.7813,0.6324,0.9593,0.8726,0.6242,0.2823,0.7746,0.4884,1,1,1,1,0.1111,0.1765,0.1765
ACTR8,0.3259,0.3278,5.922,0.0000,0.5894,0.6083,0.9502,0.7656,0.8078,0.3115,0.7937,0.6434,1,1,1,1,0.2500,0.1765,0.1765
AHCTF1,0.3893,0.3543,1.305,0.0000,0.7577,0.4780,0.8735,0.6884,0.6526,0.4868,0.8783,0.7253,1,1,1,1,0.0526,0.0000,0.1111
AKIRIN2,0.2243,0.2178,0.290,0.4500,0.7807,0.5895,0.9164,0.7624,0.6249,0.4004,0.8077,0.6471,1,1,1,1,0.1111,0.0526,0.1111
ALDOA,0.3745,0.3675,0.623,0.3000,0.5931,0.4860,0.8292,0.7060,0.8051,0.5590,0.8740,0.7082,1,1,1,1,0.1111,0.0526,0.0526
ALG13,0.1669,0.1529,1.037,0.0600,0.8799,0.6482,0.9620,0.7496,0.4752,0.2729,0.7615,0.6619,1,1,1,1,0.0000,0.0526,0.1111
ALG2,0.4450,0.4524,4.957,0.0000,0.7245,0.4173,0.8559,0.6037,0.6893,0.5172,0.9088,0.7972,1,1,1,1,0.3333,0.1765,0.1765
ANAPC2,0.2878,0.2403,0.483,0.3350,0.6745,0.5427,0.8798,0.7428,0.7383,0.4753,0.8399,0.6695,1,1,1,1,0.0526,0.0526,0.0000
ANKRD11,0.2598,0.2220,2.214,0.0150,0.8642,0.7063,0.9208,0.8069,0.5032,0.3900,0.7079,0.5908,1,1,1,1,0.0526,0.1765,0.0526
ARCN1,0.4242,0.4255,0.221,0.5500,0.4328,0.3547,0.7294,0.7222,0.9015,0.6841,0.9350,0.6917,1,1,1,1,0.1111,0.0000,0.0526
ARGLU1,0.2308,0.2368,5.776,0.0000,0.9030,0.7692,0.9646,0.8219,0.4296,0.2638,0.6390,0.5697,1,1,1,1,0.0526,0.0000,0.0000
ARIH1,0.0471,0.0256,-2.016,0.9600,0.7775,0.8186,0.9222,0.9586,0.6288,0.3867,0.5743,0.2847,1,1,1,1,0.0000,0.0526,0.0526
ARL2,0.3219,0.3076,1.291,0.0000,0.7331,0.7215,0.8997,0.8514,0.6801,0.4365,0.6925,0.5245,1,1,1,1,0.0526,0.0526,0.0000
ARMC7,0.2023,0.1976,1.615,0.0050,0.7370,0.3707,0.9384,0.6977,0.6759,0.3455,0.9288,0.7164,1,1,1,1,0.1765,0.1111,0.0000
ARPC4,0.1951,0.1830,2.866,0.0000,0.8450,0.3640,0.9740,0.6474,0.5347,0.2267,0.9314,0.7622,1,1,1,1,0.1765,0.0526,0.0000
ATF5,0.5347,0.5425,1.427,0.0050,0.3230,0.2431,0.7842,0.6472,0.9464,0.6205,0.9700,0.7623,1,1,1,1,0.2500,0.1111,0.0000
ATP6AP1,0.3990,0.4026,2.306,0.0000,0.6437,0.4952,0.8653,0.7459,0.7653,0.5013,0.8688,0.6661,1,1,1,1,0.1765,0.2500,0.0526
