target,condition,k,gene,cosine,additivity_risk,reliability
toward_Th1,Rest,1,LAT2,0.2255,0.0475,0.9525
toward_Th1,Rest,2,APPBP2,0.2892,0.0601,0.9399
toward_Th1,Rest,3,RARA,0.3245,0.067,0.933
toward_Th1,Rest,4,ICOS,0.3556,0.0729,0.9271
toward_Th1,Rest,5,SNAP23,0.3791,0.0774,0.9226
toward_Th1,Rest,6,SNX4,0.392,0.0798,0.9202
toward_Th1,Rest,7,VTI1A,0.4022,0.0817,0.9183
toward_Th1,Rest,8,HEXIM1,0.4119,0.0835,0.9165
toward_Th1,Rest,9,MUTYH,0.4208,0.0852,0.9148
toward_Th1,Rest,10,HPS1,0.4298,0.0869,0.9131
toward_Th1,Rest,11,MTFR1L,0.4358,0.088,0.912
toward_Th1,Rest,12,MBD2,0.4416,0.089,0.911
toward_Th1,Rest,13,PIGS,0.4472,0.09,0.91
toward_Th1,Rest,14,SLC39A1,0.4525,0.091,0.909
toward_Th1,Rest,15,AKIRIN2,0.4574,0.0919,0.9081
toward_Th1,Rest,16,C2CD5,0.4622,0.0928,0.9072
toward_Th1,Rest,17,EMC3,0.4669,0.0937,0.9063
toward_Th1,Rest,18,SRM,0.4713,0.0944,0.9056
toward_Th1,Rest,19,BICD1,0.4754,0.0952,0.9048
toward_Th1,Rest,20,GATA3,0.4791,0.0959,0.9041
toward_Th1,Rest,21,SMG8,0.4825,0.0965,0.9035
toward_Th1,Rest,22,MTG1,0.4855,0.097,0.903
toward_Th1,Rest,23,ENPP4,0.4885,0.0976,0.9024
toward_Th1,Rest,24,UBTD2,0.4915,0.0981,0.9019
toward_Th1,Rest,25,IRGQ,0.4942,0.0986,0.9014
toward_Th1,Rest,26,USP38,0.4972,0.0991,0.9009
toward_Th1,Rest,27,CHIC2,0.4999,0.0996,0.9004
toward_Th1,Rest,28,BATF3,0.5025,0.1001,0.8999
toward_Th1,Rest,29,ADCK2,0.5048,0.1005,0.8995
toward_Th1,Rest,30,FBXW7,0.5074,0.1009,0.8991
toward_Th1,Rest,31,RC3H2,0.5094,0.1013,0.8987
toward_Th1,Rest,32,AKR1C3,0.5116,0.1017,0.8983
toward_Th1,Rest,33,PIGB,0.5136,0.1021,0.8979
toward_Th1,Rest,34,FEZ2,0.5159,0.1025,0.8975
toward_Th1,Rest,35,GHITM,0.5177,0.1028,0.8972
toward_Th1,Rest,36,MAP1LC3B,0.5196,0.1031,0.8969
toward_Th1,Rest,37,ITPKC,0.5215,0.1035,0.8965
toward_Th1,Rest,38,PPP1R37,0.5233,0.1038,0.8962
toward_Th1,Rest,39,RABEPK,0.525,0.1041,0.8959
toward_Th1,Rest,40,WRAP73,0.5266,0.1044,0.8956
toward_Th1,Stim8hr,1,RARA,0.1419,0.0304,0.9696
toward_Th1,Stim8hr,2,ICOS,0.1918,0.0406,0.9594
toward_Th1,Stim8hr,3,PCNX3,0.2253,0.0474,0.9526
toward_Th1,Stim8hr,4,MAMLD1,0.2473,0.0518,0.9482
toward_Th1,Stim8hr,5,LAT2,0.2677,0.0558,0.9442
toward_Th1,Stim8hr,6,AGTPBP1,0.2852,0.0592,0.9408
toward_Th1,Stim8hr,7,APPBP2,0.2964,0.0614,0.9386
toward_Th1,Stim8hr,8,HELLS,0.3052,0.0631,0.9369
toward_Th1,Stim8hr,9,VTI1A,0.3131,0.0646,0.9354
toward_Th1,Stim8hr,10,DHX34,0.3203,0.066,0.934
toward_Th1,Stim8hr,11,KLHL6,0.3262,0.0672,0.9328
toward_Th1,Stim8hr,12,DPH1,0.3316,0.0682,0.9318
toward_Th1,Stim8hr,13,FHOD1,0.3367,0.0692,0.9308
toward_Th1,Stim8hr,14,TEX264,0.3412,0.07,0.93
toward_Th1,Stim8hr,15,MTA2,0.3454,0.0708,0.9292
toward_Th1,Stim8hr,16,TRERF1,0.35,0.0717,0.9283
toward_Th1,Stim8hr,17,FKRP,0.3555,0.0728,0.9272
toward_Th1,Stim8hr,18,CDKAL1,0.3591,0.0734,0.9266
toward_Th1,Stim8hr,19,ANKRD27,0.3622,0.074,0.926
toward_Th1,Stim8hr,20,TRAPPC9,0.3648,0.0745,0.9255
toward_Th1,Stim8hr,21,ITPKB,0.3675,0.075,0.925
toward_Th1,Stim8hr,22,PKIA,0.3704,0.0756,0.9244
toward_Th1,Stim8hr,23,BAHD1,0.3735,0.0762,0.9238
toward_Th1,Stim8hr,24,PLCL2,0.3762,0.0767,0.9233
toward_Th1,Stim8hr,25,PLXNA3,0.3789,0.0772,0.9228
toward_Th1,Stim8hr,26,PPRC1,0.3813,0.0776,0.9224
toward_Th1,Stim8hr,27,THUMPD2,0.3834,0.078,0.922
toward_Th1,Stim8hr,28,ENPP4,0.3855,0.0784,0.9216
toward_Th1,Stim8hr,29,BTG3,0.3875,0.0788,0.9212
toward_Th1,Stim8hr,30,NAAA,0.3895,0.0792,0.9208
toward_Th1,Stim8hr,31,GFOD2,0.3914,0.0795,0.9205
toward_Th1,Stim8hr,32,CDC25A,0.3938,0.08,0.92
toward_Th1,Stim8hr,33,PTPN2,0.3957,0.0803,0.9197
toward_Th1,Stim8hr,34,CDKN2A,0.3977,0.0807,0.9193
toward_Th1,Stim8hr,35,SFI1,0.3994,0.081,0.919
toward_Th1,Stim8hr,36,SIAH1,0.4012,0.0813,0.9187
toward_Th1,Stim8hr,37,IRF2BP2,0.403,0.0817,0.9183
toward_Th1,Stim8hr,38,PYGB,0.4046,0.082,0.918
toward_Th1,Stim8hr,39,IPP,0.4061,0.0823,0.9177
toward_Th1,Stim8hr,40,FBXO32,0.4085,0.0827,0.9173
toward_Th1,Stim48hr,1,ATF7IP2,0.1564,0.033,0.967
toward_Th1,Stim48hr,2,FBXO32,0.1976,0.0413,0.9587
toward_Th1,Stim48hr,3,RARA,0.2263,0.047,0.953
toward_Th1,Stim48hr,4,HPS1,0.252,0.0521,0.9479
toward_Th1,Stim48hr,5,KIF5B,0.2651,0.0547,0.9453
toward_Th1,Stim48hr,6,GORASP2,0.2771,0.057,0.943
toward_Th1,Stim48hr,7,HEXIM1,0.2867,0.0589,0.9411
toward_Th1,Stim48hr,8,FKBP14,0.2949,0.0604,0.9396
toward_Th1,Stim48hr,9,KLHL6,0.3015,0.0617,0.9383
toward_Th1,Stim48hr,10,BICD1,0.3085,0.063,0.937
toward_Th1,Stim48hr,11,RBAK,0.3154,0.0644,0.9356
