gene,condition_raw,donor_corr_all_mean,donor_corr_all_min,donor_corr_hits_mean,guide_corr_all,guide_corr_signif,ontarget_effect_size,ontarget_significant,n_cells_target
A1BG,Rest,,,,-0.0167473262147931,-1.0,0.0,False,734.0
A1BG,Stim48hr,,,,0.0402455222332865,,0.0,False,825.0
A1BG,Stim8hr,,,,0.042464293236897,,0.0,False,753.0
A2M,Rest,0.0509476214684187,0.0339367883365155,0.8146373867286822,0.043526023705557,-0.46676736435911,0.0,False,366.0
A2M,Stim48hr,0.0289270373276455,0.0127266357938967,0.907425548253955,0.113212747428592,0.3510742400783045,0.0,False,236.0
A2M,Stim8hr,0.0380600087493043,0.0107527919221037,0.7679589361674785,0.0336476014615899,0.2855150132189338,0.0,False,292.0
AAAS,Rest,,,,,,-2.724937639002662,False,677.0
AAAS,Stim48hr,,,,,,-4.831815541000405,True,844.0
AAAS,Stim8hr,,,,,,-4.530163880670439,True,640.0
AACS,Rest,,,,0.0342291709568716,0.1485523471371665,-10.1649483084568,True,724.0
AACS,Stim48hr,,,,,,-15.4897623454999,True,738.0
AACS,Stim8hr,,,,,,-8.229439843040508,True,591.0
AAGAB,Rest,,,,0.007365559719415,0.7809181882449211,-18.51272402815752,True,647.0
AAGAB,Stim48hr,,,,,,-15.201199393573471,True,470.0
AAGAB,Stim8hr,0.0807216822144294,0.074213143386536,0.8235040123057779,0.0679113861090734,0.8464385508186629,-19.26220275480125,True,535.0
AAK1,Rest,,,,0.0503221168321243,0.6102763330113088,-28.668716523147964,True,1244.0
AAK1,Stim48hr,,,,0.0537002892356012,0.3374332510890986,-27.02385665171464,True,1147.0
AAK1,Stim8hr,,,,0.0849927223195906,0.3529527109874919,-22.59217408142099,True,1135.0
AAMDC,Rest,,,,-0.0224611685460893,-0.1088093509506849,-4.527613911833764,True,376.0
AAMDC,Stim48hr,,,,,,-5.033689499758443,False,263.0
AAMDC,Stim8hr,,,,,,-2.107566843073246,False,287.0
AAR2,Rest,0.0551195120323241,0.0280068884567347,0.4364195517806108,,,-0.639841467460285,True,62.0
AAR2,Stim48hr,,,,,,-1.629035637398184,False,48.0
AAR2,Stim8hr,,,,,,-2.271120060771215,False,70.0
AARS2,Rest,,,,0.0912809375935238,-0.3032138980301382,0.0,False,132.0
AARSD1,Rest,,,,0.0862597983092571,-1.0,-1.2013132272058835,False,771.0
AARSD1,Stim48hr,,,,0.016040660073122,-0.9996224992632412,-2.753615942317656,False,767.0
AARSD1,Stim8hr,,,,0.0671882437707289,-0.4008830908122873,-1.4786571315532215,False,682.0
AASDH,Rest,0.0684693544936987,0.0448503535062879,0.758359370451123,0.0686683480334136,,-7.308273099245454,True,651.0
AASDH,Stim48hr,0.0987444099191785,0.0673492936562775,0.746629907480686,0.1284931356938111,0.7909024821821943,-9.8218918958629,True,515.0
AASDH,Stim8hr,,,,-0.0112151244653116,1.0,-8.384237143972667,True,577.0
AASDHPPT,Rest,,,,,,-9.659759367617143,True,152.0
AASDHPPT,Stim48hr,,,,,,-8.792300992730926,True,151.0
AASDHPPT,Stim8hr,,,,,,-12.752637111563246,True,150.0
AASS,Rest,,,,-0.0003570805065968,,-0.7856560186370728,False,540.0
AASS,Stim48hr,,,,0.1101297059182585,0.1728481543956545,-2.122074240603489,True,416.0
AASS,Stim8hr,,,,-0.0201095720144272,,-0.6401181647756939,False,433.0
ABAT,Rest,,,,,,-2.9553771639953856,False,188.0
ABAT,Stim48hr,,,,,,-2.186248316962839,False,172.0
ABAT,Stim8hr,,,,,,-3.143545158917905,False,181.0
ABCA1,Rest,,,,,,0.0,False,207.0
