condition,axis,additivity_risk,aware_risk,reachable_cos_k7,recipe_k7
Rest,toward_Th1,0.082,0.082,0.402,LAT2; APPBP2; RARA; ICOS; SNAP23; SNX4; VTI1A
Rest,toward_Th2,0.076,0.076,0.373,IRF1; RSBN1L; DENND4B; SFXN1; SIN3A; UBE2V2; UBAP2L
Rest,toward_younger,0.045,0.045,0.37,FAM98A; DEPDC5; NFAT5; COIL; SESN2; ABHD3; CHMP2B
Rest,toward_older,0.049,0.049,0.408,C1D; SMG1; SUPT7L; TARS2; UBA2; C19orf47; DCP2
Stim8hr,toward_Th1,0.061,0.061,0.296,RARA; ICOS; PCNX3; MAMLD1; LAT2; AGTPBP1; APPBP2
Stim8hr,toward_Th2,0.056,0.056,0.27,DENND4B; JAK2; IL7R; IRF9; MAPK14; CASP7; IFNGR1
Stim8hr,toward_younger,0.042,0.042,0.348,TRIT1; HVCN1; PAN3; ALKBH1; RELA; VANGL1; CENPB
Stim8hr,toward_older,0.053,0.053,0.446,CD3D; SMG1; CROT; DCP2; MIOS; SNRNP40; PLEKHO1
Stim48hr,toward_Th1,0.059,0.059,0.287,ATF7IP2; FBXO32; RARA; HPS1; KIF5B; GORASP2; HEXIM1
Stim48hr,toward_Th2,0.058,0.058,0.284,RSBN1L; TMSB15B; IRF1; TAFAZZIN; ENTPD7; IRF9; SERPINB1
Stim48hr,toward_younger,0.04,0.04,0.334,SLC9A1; ATXN2; MFSD10; PLIN3; SLC35F5; PPP1R7; UAP1L1
Stim48hr,toward_older,0.045,0.045,0.376,ZAP70; SMG1; CROT; WDFY1; CD5; C1D; KEAP1
