dataset,target,weighting,n_generators,n_genes,reachable_cosine,residual_norm,heldout_cosine,heldout_z,floor_mean,floor_p95,ceiling,ceiling_p25,ceiling_p75,dynamic_range_fraction,support_size,target_kind
Norman2019_K562_CRISPRa,CEBPA+JUN (held-out double),unweighted,104,2000,0.6829,0.7305,0.6493,17.85,0.2542,0.279,0.9719,0.9712,0.9722,0.5974,104,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPA+JUN (held-out double),DEG-weighted(|d|),104,2000,0.7798,0.626,0.7269,13.2,0.366,0.3972,0.9868,0.986,0.9874,0.6667,104,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPA+CEBPB (held-out double),unweighted,104,2000,0.6776,0.7354,0.6123,19.41,0.2351,0.2608,0.9719,0.9712,0.9722,0.6006,104,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPA+CEBPB (held-out double),DEG-weighted(|d|),104,2000,0.7876,0.6162,0.7252,14.71,0.3536,0.3829,0.9868,0.986,0.9874,0.6855,104,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPB+JUN (held-out double),unweighted,104,2000,0.568,0.823,0.4833,14.21,0.248,0.2722,0.9719,0.9712,0.9722,0.4421,104,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPB+JUN (held-out double),DEG-weighted(|d|),104,2000,0.6769,0.7361,0.5722,10.49,0.3441,0.3759,0.9868,0.986,0.9874,0.5178,103,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPE+SPI1 (held-out double),unweighted,104,2000,0.8398,0.5428,0.8018,21.89,0.2974,0.3171,0.9719,0.9712,0.9722,0.8042,103,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPE+SPI1 (held-out double),DEG-weighted(|d|),104,2000,0.9066,0.4221,0.8632,15.62,0.4572,0.4807,0.9868,0.986,0.9874,0.8485,103,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPB+FOSB (held-out double),unweighted,104,2000,0.7119,0.7023,0.6713,23.6,0.2501,0.2733,0.9719,0.9712,0.9722,0.6398,104,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPB+FOSB (held-out double),DEG-weighted(|d|),104,2000,0.807,0.5905,0.7477,14.47,0.369,0.4052,0.9868,0.986,0.9874,0.709,104,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPA+ZC3HAV1 (held-out double),unweighted,104,2000,0.7507,0.6607,0.6931,23.2,0.2718,0.2936,0.9719,0.9712,0.9722,0.6841,103,held-out double perturbation
Norman2019_K562_CRISPRa,CEBPA+ZC3HAV1 (held-out double),DEG-weighted(|d|),104,2000,0.8544,0.5196,0.7844,13.97,0.4439,0.4743,0.9868,0.986,0.9874,0.7562,104,held-out double perturbation
Tier2_CD4_CRISPRi,toward_Th1 (Rest),unweighted,6871,6188,0.6266,0.7793,0.4482,28.28,0.3456,0.3597,0.9739,0.9734,0.9742,0.4473,715,Th2->Th1 polarization signature
Tier2_CD4_CRISPRi,toward_Th1 (Rest),DEG-weighted(|d|),6871,6188,0.8033,0.5956,0.5279,14.09,0.619,0.6398,0.9883,0.9879,0.9889,0.499,665,Th2->Th1 polarization signature
Tier2_CD4_CRISPRi,toward_Th1 (Stim8hr),unweighted,7155,6188,0.5235,0.852,0.2834,19.91,,,,,,,713,Th2->Th1 polarization signature
Tier2_CD4_CRISPRi,toward_Th1 (Stim8hr),DEG-weighted(|d|),7155,6188,0.7363,0.6767,0.3692,9.83,,,,,,,696,Th2->Th1 polarization signature
Tier2_CD4_CRISPRi,toward_Th1 (Stim48hr),unweighted,7195,6188,0.5329,0.8462,0.2684,19.18,,,,,,,793,Th2->Th1 polarization signature
Tier2_CD4_CRISPRi,toward_Th1 (Stim48hr),DEG-weighted(|d|),7195,6188,0.7367,0.6762,0.3357,8.62,,,,,,,720,Th2->Th1 polarization signature
