transition,target,condition,verdict,confidence,reachable_cosine,predicted_cosine,realized_cosine,gap,boot_reach_lo,boot_reach_hi,heldout_z,lof_fraction,gof_fraction,neither_fraction,optimal_k,top_knockdown_recipe,top_activation_recipe,optimal_k_library,n_SM_druggable_knockdown,n_clinical_drug_knockdown,headline_modality_message
toward_Th1_Rest,toward_Th1,Rest,partially reachable,high,0.6266,0.6266,0.4464,0.1802,0.6327,0.6486,45.046,0.3927,0.2535,0.3538,5,ICOS(0.25); C2CD5(0.19); ADCK2(0.18); VTI1A(0.15); FBXW7(0.14),DENND10(0.14); WWP2(0.13); SP100(0.13); ITPR3(0.13); CREBZF(0.12),LAT2; APPBP2; RARA; ICOS; SNAP23,7,1,39% of the addressable shift needs INDUCTION (CRISPRa/ORF); a knockdown-only screen structurally cannot reach it. 1/15 knockdown targets have an approved/clinical drug for repurposing.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,weakly reachable,medium,0.5235,0.5235,0.2927,0.2308,,,12.703,0.2741,0.2605,0.4654,6,AGTPBP1(0.17); RARA(0.15); HERC1(0.14); DPH1(0.14); MAMLD1(0.13),ZBTB49(0.18); AP5S1(0.16); PEX16(0.13); APOBEC3F(0.13); TXNDC5(0.12),RARA; ICOS; PCNX3; MAMLD1; LAT2; AGTPBP1,6,2,49% of the addressable shift needs INDUCTION (CRISPRa/ORF); a knockdown-only screen structurally cannot reach it. 2/15 knockdown targets have an approved/clinical drug for repurposing.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,weakly reachable,medium,0.5329,0.5329,0.2994,0.2335,,,21.821,0.284,0.263,0.4531,4,FBXO32(0.23); ICOS(0.17); KLHL6(0.17); RARA(0.17); ATG5(0.15),GBP5(0.15); ADD1(0.14); SAMD8(0.12); MYH9(0.12); ZFP36(0.12),ATF7IP2; FBXO32; RARA; HPS1,4,3,48% of the addressable shift needs INDUCTION (CRISPRa/ORF); a knockdown-only screen structurally cannot reach it. 3/15 knockdown targets have an approved/clinical drug for repurposing.
toward_Th2_Rest,toward_Th2,Rest,partially reachable,high,0.6428,0.6428,0.4584,0.1845,0.6449,0.6636,20.868,0.4132,0.2349,0.3519,4,MAPK14(0.21); IRF1(0.18); WWP2(0.17); ILVBL(0.17); SIN3A(0.16),ADCK2(0.14); ICOS(0.14); CCND3(0.13); ZBTB22(0.12); C2CD5(0.12),IRF1; RSBN1L; DENND4B; SFXN1,6,2,36% of the addressable shift needs INDUCTION (CRISPRa/ORF); a knockdown-only screen structurally cannot reach it. 2/15 knockdown targets have an approved/clinical drug for repurposing.
toward_Th2_Stim8hr,toward_Th2,Stim8hr,weakly reachable,medium,0.537,0.537,0.3038,0.2332,,,20.39,0.2884,0.2493,0.4623,5,IFNGR1(0.22); ZBTB49(0.17); DZIP1(0.14); GGA1(0.13); PACS1(0.13),AMPD3(0.13); SEPTIN2(0.13); BST2(0.12); MAGEH1(0.12); MAL(0.12),DENND4B; JAK2; IL7R; IRF9; MAPK14,6,2,46% of the addressable shift needs INDUCTION (CRISPRa/ORF); a knockdown-only screen structurally cannot reach it. 2/15 knockdown targets have an approved/clinical drug for repurposing.
toward_Th2_Stim48hr,toward_Th2,Stim48hr,weakly reachable,medium,0.53,0.53,0.2586,0.2714,,,12.565,0.2809,0.2607,0.4584,4,IRF1(0.23); TMSB15B(0.18); GFI1(0.17); GBP5(0.16); DNTTIP1(0.16),FBXO32(0.18); AMPD3(0.12); ATG5(0.12); ICOS(0.12); YWHAQ(0.12),RSBN1L; TMSB15B; IRF1; TAFAZZIN,4,2,48% of the addressable shift needs INDUCTION (CRISPRa/ORF); a knockdown-only screen structurally cannot reach it. 2/15 knockdown targets have an approved/clinical drug for repurposing.
toward_younger_Rest,toward_younger,Rest,partially reachable,low,0.6262,0.6262,0.4008,0.2253,0.6292,0.6423,9.024,0.3921,0.2179,0.39,4,COPS7B(0.09); CCND3(0.09); SEPTIN7(0.09); CLINT1(0.09); HSPA1L(0.09),TYW5(0.08); AGAP3(0.08); ZNF544(0.08); NAA80(0.08); PDE4B(0.07),FAM98A; DEPDC5; NFAT5; COIL,6,0,36% of the addressable shift needs INDUCTION (CRISPRa/ORF); a knockdown-only screen structurally cannot reach it. 0/15 knockdown targets have an approved/clinical drug for repurposing.
toward_younger_Stim8hr,toward_younger,Stim8hr,weakly reachable,low,0.5885,0.5885,0.3495,0.239,,,4.651,0.3463,0.2279,0.4258,4,KLF3(0.11); VANGL1(0.09); CAMK1(0.08); JMJD4(0.07); VCPKMT(0.07),C3orf38(0.08); SNRNP40(0.06); ABRAXAS1(0.06); AMER1(0.06); CD320(0.06),TRIT1; HVCN1; PAN3; ALKBH1,5,0,40% of the addressable shift needs INDUCTION (CRISPRa/ORF); a knockdown-only screen structurally cannot reach it. 0/15 knockdown targets have an approved/clinical drug for repurposing.
toward_younger_Stim48hr,toward_younger,Stim48hr,weakly reachable,low,0.597,0.597,0.3629,0.2341,,,6.442,0.3564,0.2316,0.412,4,PLIN3(0.09); WDR62(0.09); CTNNA1(0.09); NXPE3(0.09); ZC3H12D(0.08),ALDH3A2(0.08); CD2AP(0.08); TET2(0.08); CENPS(0.08); CNKSR2(0.07),SLC9A1; ATXN2; MFSD10; PLIN3,3,0,39% of the addressable shift needs INDUCTION (CRISPRa/ORF); a knockdown-only screen structurally cannot reach it. 0/15 knockdown targets have an approved/clinical drug for repurposing.
toward_older_Rest,toward_older,Rest,weakly reachable,medium,0.5964,0.5964,0.3902,0.2062,0.6034,0.6121,14.257,0.3557,0.2487,0.3956,4,KDM6A(0.10); AGAP3(0.09); MAP3K4(0.09); PRPF38B(0.08); TYW5(0.08),TMEM265(0.07); H2AC11(0.07); HSPBP1(0.07); SEPTIN7(0.07); COPS7B(0.07),C1D; SMG1; SUPT7L; TARS2,9,2,41% of the addressable shift needs INDUCTION (CRISPRa/ORF); a knockdown-only screen structurally cannot reach it. 2/15 knockdown targets have an approved/clinical drug for repurposing.
