transition,target,condition,gene,direction,recipe_rank,weight,lof_fraction,gof_fraction,neither_fraction,ensembl_id,OT_SM_bucket,OT_AB_bucket,OT_PR_bucket,OT_top_bucket,n_drugs,delivery_call,note
toward_Th1_Rest,toward_Th1,Rest,ICOS,knockdown,1,0.254071,0.3927,0.2535,0.3538,ENSG00000163600,,Advanced Clinical,Small Molecule Binder,clinical drug,4,CRISPRi or antibody blockade (surface; 4 drugs),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Rest,toward_Th1,Rest,C2CD5,knockdown,2,0.187496,0.3927,0.2535,0.3538,ENSG00000111731,,UniProt loc high conf,Database Ubiquitination,AB-tractable (surface),0,CRISPRi or antibody blockade (surface protein),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Rest,toward_Th1,Rest,ADCK2,knockdown,3,0.177699,0.3927,0.2535,0.3538,ENSG00000133597,,UniProt SigP or TMHMM,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Rest,toward_Th1,Rest,VTI1A,knockdown,4,0.150577,0.3927,0.2535,0.3538,ENSG00000151532,,UniProt SigP or TMHMM,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Rest,toward_Th1,Rest,FBXW7,knockdown,5,0.137739,0.3927,0.2535,0.3538,ENSG00000109670,Structure with Ligand,,UniProt Ubiquitination,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: Structure with Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Rest,toward_Th1,Rest,FAM91A1,knockdown,6,0.131182,0.3927,0.2535,0.3538,ENSG00000176853,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Rest,toward_Th1,Rest,AKR1C3,knockdown,7,0.122338,0.3927,0.2535,0.3538,ENSG00000196139,Structure with Ligand,,Database Ubiquitination,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: Structure with Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Rest,toward_Th1,Rest,BCL9L,knockdown,8,0.120531,0.3927,0.2535,0.3538,ENSG00000186174,Structure with Ligand,,UniProt Ubiquitination,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: Structure with Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Rest,toward_Th1,Rest,PIGS,knockdown,9,0.11975,0.3927,0.2535,0.3538,ENSG00000087111,Structure with Ligand,UniProt SigP or TMHMM,Database Ubiquitination,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: Structure with Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Rest,toward_Th1,Rest,APPBP2,knockdown,10,0.115879,0.3927,0.2535,0.3538,ENSG00000062725,,UniProt loc high conf,Database Ubiquitination,AB-tractable (surface),0,CRISPRi or antibody blockade (surface protein),Suppression direction maps onto an existing pharmacological handle.
