axis,predictor,family,in_sample_cosine,held_out_cosine,complexity_K,margin_vs_cone,seconds,rc_p95,rc_p99,rc_z,rc_percentile_of_cone,n_random
Th2->Th1_Rest(flagship),cone_nnls,reference,0.6790541744175969,0.4464114605104187,691,0.0,7.64,,,,,
Th2->Th1_Rest(flagship),B1a_predict_mean,trivial,0.011890270551286565,-0.022141081192861643,1,0.4685525417032803,0.0,,,,,
Th2->Th1_Rest(flagship),B1b_pca_k1,trivial,0.011486926612544471,0.0059661839293087575,1,0.44044527658110993,1.11,,,,,
Th2->Th1_Rest(flagship),B1b_pca_k5,trivial,0.23688777497071348,0.22527975935604344,5,0.22113170115437525,0.0,,,,,
Th2->Th1_Rest(flagship),B1b_pca_k20,trivial,0.49387672124411935,0.5041815858309373,20,-0.05777012532051862,0.0,,,,,
Th2->Th1_Rest(flagship),B2_random_cone_mean,random_cone,,0.3997982926187167,691,0.046613167891702,58.33,0.4254662173571745,0.4309931701732136,2.9586411011749325,100.0,300.0
Th2->Th1_Rest(flagship),B3_unconstrained_ls,unconstrained,1.0,0.4893695618459245,6871,-0.042958101335505816,7.59,,,,,
Th2->Th1_Rest(flagship),B3_ridge_lam0.01,unconstrained,0.9999999999910983,0.48937182690384395,6871,-0.042960366393425264,0.0,,,,,
Th2->Th1_Rest(flagship),B3_ridge_lam1,unconstrained,0.9999999114775464,0.48959527009816134,6871,-0.04318380958774265,0.0,,,,,
Th2->Th1_Rest(flagship),B3_ridge_lam100,unconstrained,0.9994037994427786,0.5070623488282529,6871,-0.06065088831783416,0.0,,,,,
Th1->Th2_Rest,cone_nnls,reference,0.6963254583740582,0.45835487384994283,742,0.0,8.44,,,,,
Th1->Th2_Rest,B1a_predict_mean,trivial,0.011890270551286565,-0.022141081192861643,1,0.48049595504280446,0.0,,,,,
Th1->Th2_Rest,B1b_pca_k1,trivial,0.011486926612544471,0.0059661839293087575,1,0.4523886899206341,0.32,,,,,
Th1->Th2_Rest,B1b_pca_k5,trivial,0.23688777497071348,0.22527975935604344,5,0.2330751144938994,0.0,,,,,
Th1->Th2_Rest,B1b_pca_k20,trivial,0.49387672124411935,0.5041815858309373,20,-0.04582671198099447,0.0,,,,,
Th1->Th2_Rest,B2_random_cone_mean,random_cone,,0.3954654676009814,742,0.06288940624896144,68.3,0.42204949559742294,0.43563624244408394,3.771299055412952,100.0,300.0
Th1->Th2_Rest,B3_unconstrained_ls,unconstrained,1.0,0.4893695618459245,6871,-0.03101468799598167,5.71,,,,,
Th1->Th2_Rest,B3_ridge_lam0.01,unconstrained,0.9999999999910983,0.48937182690384395,6871,-0.03101695305390112,0.0,,,,,
Th1->Th2_Rest,B3_ridge_lam1,unconstrained,0.9999999114775464,0.48959527009816134,6871,-0.031240396248218505,0.0,,,,,
Th1->Th2_Rest,B3_ridge_lam100,unconstrained,0.9994037994427786,0.5070623488282529,6871,-0.04870747497831002,0.0,,,,,
