seed,n_train_genes,n_test_genes,train_cosine,heldout_cosine,support_size
0,3094,3094,0.6790541744175959,0.44641146051041847,691
1,3094,3094,0.6699884010591084,0.4584154720625527,698
2,3094,3094,0.6841809421811347,0.45544471823580146,703
3,3094,3094,0.6765734394160887,0.45867103124571584,676
4,3094,3094,0.6922419919766003,0.4326044027815377,726
5,3094,3094,0.6815136051930775,0.4497566105510432,777
6,3094,3094,0.6818988415236781,0.4527119907585761,662
7,3094,3094,0.6830516243274658,0.43583375308672034,709
8,3094,3094,0.6925030270022897,0.43483986056124035,729
9,3094,3094,0.6819649990578345,0.4547454022543877,699
10,3094,3094,0.6818983324062071,0.4447286977056362,695
11,3094,3094,0.680164481259892,0.4331144748458274,732
