gene,published_rank,mean_halffit_rank,sd_halffit_rank,frac_in_top30,frac_in_top50
LYAR,1,3.0,1.7,1.0,1.0
IKZF3,2,3.6,1.8,1.0,1.0
TMEM62,3,4.1,2.4,1.0,1.0
CRTAM,4,2.5,1.8,1.0,1.0
STOM,5,5.7,3.1,1.0,1.0
PLCB1,6,5.1,1.6,1.0,1.0
CBLB,7,8.2,3.1,1.0,1.0
GBP5,8,10.3,3.9,1.0,1.0
PPP2R2B,9,15.5,8.3,0.96,1.0
LAG3,10,12.8,9.1,0.96,1.0
SAMD3,11,16.9,6.4,1.0,1.0
ARHGAP26,12,23.8,12.9,0.67,0.96
RAB34,13,20.8,12.2,0.79,0.96
DNAJC1,14,24.2,16.2,0.67,0.92
TRPS1,15,22.1,11.8,0.83,0.96
DTHD1,16,24.2,3.6,0.96,1.0
ITGA4,17,27.9,12.6,0.58,0.96
MYBL1,18,35.4,21.0,0.46,0.75
ENC1,19,35.3,19.8,0.42,0.83
RASGEF1A,20,36.7,26.9,0.54,0.71
IRF8,21,38.3,26.3,0.5,0.62
ZNF532,22,24.7,12.2,0.67,0.96
SNTB2,23,53.2,37.8,0.5,0.54
NCALD,24,42.7,30.7,0.46,0.71
CDKN2C,25,35.3,13.8,0.38,0.83
IGFBP4,26,35.6,21.3,0.5,0.71
LUZP1,27,52.1,34.7,0.46,0.54
GZMA,28,34.5,18.6,0.54,0.83
E2F3,29,63.9,41.8,0.29,0.5
DHRS3,30,43.4,25.7,0.46,0.62
