target,cond,cos_ITT,cos_LATE,abs_delta,scale_median,scale_max
Th1,Rest,0.6266290274312786,0.6266290274312788,2.220446049250313e-16,1.1455257695250054,16.6803895180064
Th1,Stim8hr,0.5235240543878785,0.5235240543878784,1.1102230246251565e-16,1.1523322930985613,17.097976147855753
Th1,Stim48hr,0.5328836947832118,0.5328836947832118,0.0,1.1920478864847468,19.706760699298275
Th2,Rest,0.6428176245552623,0.6428176245552623,0.0,1.1455257695250054,16.6803895180064
Th2,Stim8hr,0.5369907235618406,0.5369907235618409,2.220446049250313e-16,1.1523322930985613,17.097976147855753
Th2,Stim48hr,0.5299676411768143,0.5299676411768143,0.0,1.1920478864847468,19.706760699298275
younger,Rest,0.6261701403110038,0.6261701403110039,1.1102230246251565e-16,1.1455257695250054,16.6803895180064
younger,Stim8hr,0.5884804039690821,0.5884804039690821,0.0,1.1523322930985613,17.097976147855753
younger,Stim48hr,0.5970152091936841,0.5970152091936841,0.0,1.1920478864847468,19.706760699298275
older,Rest,0.5963882768571203,0.5963882768571205,2.220446049250313e-16,1.1455257695250054,16.6803895180064
older,Stim8hr,0.5898741884012565,0.5898741884012566,1.1102230246251565e-16,1.1523322930985613,17.097976147855753
older,Stim48hr,0.5662342507172752,0.5662342507172751,1.1102230246251565e-16,1.1920478864847468,19.706760699298275
