gene,n_atlas_nominations,nominations,required_modality,modality_tier,OT_SM_tractability,OT_AB_tractability,OT_PR_tractability,n_drugs_or_candidates,n_immune_genetic_assoc,top_immune_disease,top_immune_genetic_score,biotype,flag
C1D,3,→older/Rest:1;→older/Stim48hr:6;→older/Stim8hr:9,knockdown/degradation (LOF greedy node),degrader-only (predicted),,,UniProt Ubiquitination,0,4,seasonal allergic rhinitis,0.384,protein_coding,REQUIRED-BUT-UNDRUGGABLE
RARA,3,→Th1/Rest:3;→Th1/Stim48hr:3;→Th1/Stim8hr:1,knockdown/degradation (LOF greedy node),clinical drug,Approved Drug,GO CC high conf,Small Molecule Binder,11,0,,0.0,protein_coding,
SMG1,3,→older/Rest:2;→older/Stim48hr:2;→older/Stim8hr:2,knockdown/degradation (LOF greedy node),SM-tractable,Structure with Ligand,,Small Molecule Binder,0,0,,0.0,protein_coding,
IRF1,2,→Th2/Rest:1;→Th2/Stim48hr:3,knockdown/degradation (LOF greedy node),degrader-only (predicted),,,UniProt Ubiquitination,0,17,asthma,0.832,protein_coding,REQUIRED-BUT-UNDRUGGABLE
ICOS,2,→Th1/Rest:4;→Th1/Stim8hr:2,knockdown/degradation (LOF greedy node),clinical drug,,Advanced Clinical,Small Molecule Binder,4,13,"immunodeficiency, common variable, 1",0.832,protein_coding,GREEN-LIGHT (druggable+genetic)
HEXIM1,2,→Th1/Rest:8;→Th1/Stim48hr:7,knockdown/degradation (LOF greedy node),undruggable (conventional),Med-Quality Pocket,,Database Ubiquitination,0,2,allergic disease,0.523,protein_coding,REQUIRED-BUT-UNDRUGGABLE
LAT2,2,→Th1/Rest:1;→Th1/Stim8hr:5,knockdown/degradation (LOF greedy node),AB-tractable,,UniProt loc high conf,UniProt Ubiquitination,0,2,systemic lupus erythematosus,0.38,protein_coding,
CROT,2,→older/Stim48hr:3;→older/Stim8hr:3,knockdown/degradation (LOF greedy node),degrader-only (predicted),,,Database Ubiquitination,0,1,systemic lupus erythematosus,0.033,protein_coding,REQUIRED-BUT-UNDRUGGABLE
DCP2,2,→older/Rest:7;→older/Stim8hr:4,knockdown/degradation (LOF greedy node),SM-tractable,Structure with Ligand,,Database Ubiquitination,0,1,alopecia,0.092,protein_coding,
DENND4B,2,→Th2/Rest:3;→Th2/Stim8hr:1,knockdown/degradation (LOF greedy node),degrader-only (predicted),,,Database Ubiquitination,0,1,functional neutrophil defect,0.036,protein_coding,REQUIRED-BUT-UNDRUGGABLE
IRF9,2,→Th2/Stim48hr:6;→Th2/Stim8hr:4,knockdown/degradation (LOF greedy node),degrader-only (predicted),,,UniProt Ubiquitination,0,1,"immunodeficiency 65, susceptibility to viral infections",0.422,protein_coding,REQUIRED-BUT-UNDRUGGABLE
VTI1A,2,→Th1/Rest:7;→Th1/Stim8hr:9,knockdown/degradation (LOF greedy node),undruggable (conventional),,UniProt SigP or TMHMM,Database Ubiquitination,0,1,immune system disorder,0.342,protein_coding,REQUIRED-BUT-UNDRUGGABLE
APPBP2,2,→Th1/Rest:2;→Th1/Stim8hr:7,knockdown/degradation (LOF greedy node),AB-tractable,,UniProt loc high conf,Database Ubiquitination,0,0,,0.0,protein_coding,
HPS1,2,→Th1/Rest:10;→Th1/Stim48hr:4,knockdown/degradation (LOF greedy node),degrader-only (predicted),,,Database Ubiquitination,0,0,,0.0,protein_coding,REQUIRED-BUT-UNDRUGGABLE
RSBN1L,2,→Th2/Rest:2;→Th2/Stim48hr:1,knockdown/degradation (LOF greedy node),degrader-only (predicted),,,UniProt Ubiquitination,0,0,,0.0,protein_coding,REQUIRED-BUT-UNDRUGGABLE
IL7R,1,→Th2/Stim8hr:3,knockdown/degradation (LOF greedy node),AB-tractable,,GO CC high conf,UniProt Ubiquitination,0,22,T-B+ severe combined immunodeficiency due to JAK3 deficiency,0.959,protein_coding,
JAK2,1,→Th2/Stim8hr:2,knockdown/degradation (LOF greedy node),clinical drug,Approved Drug,GO CC high conf,Small Molecule Binder,31,14,ulcerative colitis,0.818,protein_coding,GREEN-LIGHT (druggable+genetic)
TET2,1,→Th2/Stim8hr:8,knockdown/degradation (LOF greedy node),SM-tractable,Structure with Ligand,,Small Molecule Binder,0,12,myeloid leukemia,0.988,protein_coding,
ZAP70,1,→older/Stim48hr:1,knockdown/degradation (LOF greedy node),SM-tractable,Structure with Ligand,UniProt loc high conf,Small Molecule Binder,0,12,combined immunodeficiency due to ZAP70 deficiency,0.882,protein_coding,
MAPK14,1,→Th2/Stim8hr:5,knockdown/degradation (LOF greedy node),clinical drug,Advanced Clinical,GO CC high conf,Small Molecule Binder,28,8,ulcerative colitis,0.423,protein_coding,GREEN-LIGHT (druggable+genetic)
ATXN2,1,→younger/Stim48hr:2,knockdown/degradation (LOF greedy node),degrader-only (predicted),,,UniProt Ubiquitination,0,7,Hashimoto thyroiditis,0.51,protein_coding,REQUIRED-BUT-UNDRUGGABLE
