gene,target_z,unmet_demand
MNDA,9.875,7.607
HP,9.4601,7.5933
VSIG4,7.8384,6.5123
ALOX5AP,8.1037,3.6683
PILRA,6.5358,3.5976
JAML,6.9288,3.4209
NCF1,7.9289,3.3604
RP11-756H6.1,2.0955,3.1609
SLC45A3,4.2086,3.1558
SIGLEC14,5.6383,3.1305
RP11-10A14.4,1.8956,3.1257
SRGN,7.3431,3.1172
GATA6,0.8772,3.1016
CEBPA,5.4493,3.0768
IL10RA,3.5882,2.8328
ADAP2,4.0495,2.8161
RARA-AS1,2.9035,2.755
PTAFR,7.9137,2.7103
EPX,7.319,2.6779
KLF2,4.0226,2.6287
SLC41A2,2.05,2.5951
NUPR1,2.9517,2.5276
ALDH3B1,5.9866,2.4969
SLC44A1,3.0269,2.4939
TBC1D2,3.6508,2.44
