double,component_A,component_B,cos_measured_vs_additive,rel_residual,norm_measured
KIF18B+KIF2C,KIF18B,KIF2C,0.1398,1.2023,19.7635
BAK1+BCL2L11,BAK1,BCL2L11,0.1784,1.1679,13.9246
PLK4+STIL,PLK4,STIL,0.2227,1.1785,26.8997
CBL+UBASH3A,CBL,UBASH3A,0.3119,0.9688,30.085
BAK1+TMSB4X,BAK1,TMSB4X,0.3223,1.1677,11.7323
BCL2L11+TGFBR2,BCL2L11,TGFBR2,0.333,1.2211,10.8539
C3orf72+FOXL2,C3orf72,FOXL2,0.3756,1.1845,29.921
SAMD1+TGFBR2,SAMD1,TGFBR2,0.436,0.9418,27.3535
FOSB+PTPN12,FOSB,PTPN12,0.492,1.216,15.74
MAP2K3+SLC38A2,MAP2K3,SLC38A2,0.5041,1.2004,12.791
OSR2+PTPN12,OSR2,PTPN12,0.5054,1.231,15.1613
CBL+TGFBR2,CBL,TGFBR2,0.524,0.9039,19.3332
DUSP9+MAPK1,DUSP9,MAPK1,0.5325,1.3858,16.08
UBASH3A+UBASH3B,UBASH3A,UBASH3B,0.5534,0.9597,12.7464
C19orf26+TGFBR2,C19orf26,TGFBR2,0.5591,0.8647,18.7587
CBL+PTPN9,CBL,PTPN9,0.5779,0.899,19.5903
CDKN1B+CDKN1C,CDKN1B,CDKN1C,0.581,1.0632,24.1439
PTPN12+UBASH3A,PTPN12,UBASH3A,0.5826,0.8299,22.4636
CBFA2T3+PRDM1,CBFA2T3,PRDM1,0.5869,0.8456,32.5839
CNN1+UBASH3A,CNN1,UBASH3A,0.598,0.8051,25.5473
CBFA2T3+POU3F2,CBFA2T3,POU3F2,0.6022,0.8584,22.7985
PTPN12+SNAI1,PTPN12,SNAI1,0.6085,0.9453,18.5825
FOXL2+ZNF318,FOXL2,ZNF318,0.6125,0.8816,19.3217
CDKN1A+CDKN1C,CDKN1A,CDKN1C,0.6169,1.0527,25.1301
SNAI1+UBASH3B,SNAI1,UBASH3B,0.6192,0.9125,17.3435
FOXA3+FOXF1,FOXA3,FOXF1,0.6282,0.8264,23.3586
CDKN1A+CDKN1B,CDKN1A,CDKN1B,0.6339,0.958,23.5247
HOXC13+ZC3HAV1,HOXC13,ZC3HAV1,0.636,1.1103,16.4534
PTPN9+UBASH3B,PTPN9,UBASH3B,0.6369,0.8159,19.1789
CEBPB+JUN,CEBPB,JUN,0.6383,0.8167,41.8283
ETS2+TGFBR2,ETS2,TGFBR2,0.6414,0.8787,15.5584
DLX2+SNAI1,DLX2,SNAI1,0.647,0.7891,30.0588
ELMSAN1+MAP2K6,ELMSAN1,MAP2K6,0.6475,0.9284,13.3588
MAP2K3+MAP2K6,MAP2K3,MAP2K6,0.65,1.2377,11.0338
PTPN12+PTPN9,PTPN12,PTPN9,0.6516,0.842,20.4456
UBASH3B+ZBTB25,UBASH3B,ZBTB25,0.6541,0.7882,19.7787
FOXL2+HOXB9,FOXL2,HOXB9,0.6551,0.7732,32.3563
FOXL2+MEIS1,FOXL2,MEIS1,0.6552,0.7978,22.9432
FOSB+UBASH3B,FOSB,UBASH3B,0.6627,0.9763,14.953
IGDCC3+ZBTB25,IGDCC3,ZBTB25,0.6712,0.755,27.7727
FOXA3+FOXL2,FOXA3,FOXL2,0.672,0.7703,30.6819
FOXA1+FOXF1,FOXA1,FOXF1,0.6793,0.7492,21.677
FOXF1+HOXB9,FOXF1,HOXB9,0.6864,0.7511,22.5649
OSR2+UBASH3B,OSR2,UBASH3B,0.6879,1.1137,13.0645
FOXA1+FOXL2,FOXA1,FOXL2,0.6884,0.7844,24.1534
ELMSAN1+MAP2K3,ELMSAN1,MAP2K3,0.6894,0.8122,17.2022
PTPN12+UBASH3B,PTPN12,UBASH3B,0.6897,0.7584,21.5351
CBL+PTPN12,CBL,PTPN12,0.6905,0.7836,21.5779
CEBPE+PTPN12,CEBPE,PTPN12,0.6907,1.2484,17.8624
ELMSAN1+LHX1,ELMSAN1,LHX1,0.6946,0.7933,18.9952
FOXF1+FOXL2,FOXF1,FOXL2,0.6981,0.7266,26.4807
CNN1+MAPK1,CNN1,MAPK1,0.6986,0.856,18.244
SAMD1+UBASH3B,SAMD1,UBASH3B,0.6998,0.7537,22.9621
ETS2+IGDCC3,ETS2,IGDCC3,0.7002,0.8818,17.7988
IGDCC3+MAPK1,IGDCC3,MAPK1,0.701,0.977,18.8941
CEBPE+CNN1,CEBPE,CNN1,0.7017,1.0015,20.8581
KLF1+MAP2K6,KLF1,MAP2K6,0.703,0.7982,17.0094
CNN1+ETS2,CNN1,ETS2,0.7032,0.905,13.3841
CEBPE+KLF1,CEBPE,KLF1,0.7067,1.3444,16.6105
